,object,id,symbol,company,companyName,companyNameEng,shortName,status,listedDate,delistedDate,floor,indexCode,industryName
0,stock,5952,A32,Công ty cổ phần 32,Công ty cổ phần 32,32 Joint Stock Company,CTCP 32,listed,2018-10-23,,UPCOM,,"Đồ may mặc, trang sức, phụ kiện"
1,stock,2839,AAA,Công ty cổ phần Nhựa An Phát Xanh,Công ty cổ phần Nhựa An Phát Xanh,An Phat Bioplastics Joint Stock Company,Nhựa An Phát Xanh,listed,2016-11-25,,HOSE,,Bao bì & đóng gói
2,stock,2498,AAM,Công ty Cổ phần Thủy sản Mekong,Công ty Cổ phần Thủy sản Mekong,MekongFisheries Joint Stock Company,Thủy sản Mekong,listed,2009-09-24,,HOSE,,Nông sản và thủy hải sản
3,stock,6316,AAS,Công ty Cổ phần Chứng khoán SmartInvest,Công ty Cổ phần Chứng khoán SmartInvest,SmartInvest Securities Joint Stock Company,Chứng khoán SmartInvest,listed,2020-07-23,,UPCOM,,Dịch vụ đầu tư
4,stock,4728,AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,Công ty cổ phần Tiên Sơn Thanh Hoá,TIEN SON THANH HOA JOINT STOCK COMPANY,Tiên Sơn Thanh Hóa,listed,2021-03-24,,HOSE,,"Đồ may mặc, trang sức, phụ kiện"
5,stock,5406,AAV,Công ty cổ phần Việt Tiên Sơn Địa ốc,Công ty cổ phần Việt Tiên Sơn Địa ốc,Viet Tien Son Real Estate Holding Company,Việt Tiên Sơn Địa ốc,listed,2018-06-25,,HNX,,Xây dựng công trình
6,stock,772,ABB,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng Thương mại Cổ phần An Bình,An Binh Joint Stock Commercial Bank,Ngân hàng An Bình,listed,2020-12-28,,UPCOM,,Ngân hàng
7,stock,488,ABC,Công ty cổ phần Truyền thông VMG,Công ty cổ phần Truyền thông VMG,VMG Media Joint Stock Company,Truyền thông VMG,listed,2016-08-18,,UPCOM,,Dịch vụ viễn thông di động
8,stock,2475,ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp (ABIC) ,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp (ABIC) ,Agriculture Bank Insurance Joint Stock Corporation,Bảo hiểm Agribank,listed,2009-07-16,,UPCOM,,Bảo hiểm đa ngành
9,stock,5269,ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Viet Brand Invest Joint Stock Company,ĐT Nhãn Hiệu Việt,listed,2018-06-12,,UPCOM,,Dịch vụ tiện ích tổng hợp
10,stock,6310,ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Binh Thuan Agriculture Services JSC,Nông nghiệp Bình Thuận,listed,2020-03-18,,HOSE,,Sản phẩm sinh hóa
11,stock,475,ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,Bentre Aquaproduct Import And Export Joint Stock Company,Thủy sản Bến Tre,listed,2021-04-01,,HNX,,Nông sản và thủy hải sản
12,stock,527,ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Asia Commercial Joint Stock Bank,Ngân hàng Á Châu,listed,2020-12-09,,HOSE,,Ngân hàng
13,stock,2428,ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,ACC Binh Duong Investment and Contstruction Joint Stock Company,Bình Dương ACC,listed,2011-06-30,,HOSE,,Vật liệu xây dựng
14,stock,2567,ACE,Công ty Cổ phần Bê tông ly tâm An Giang,Công ty Cổ phần Bê tông ly tâm An Giang,An Giang Centrifugal Concrete Joint Stock Company,Bê tông An Giang,listed,2009-11-10,,UPCOM,,Vật liệu xây dựng
15,stock,1506,ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Cuulong Fish Joint Stock Company,XNK Thủy sản Cửu Long An Giang,listed,2007-09-05,,HOSE,,Nông sản và thủy hải sản
16,stock,4350,ACM,Công ty Cổ phần Tập đoàn khoáng sản Á Cường,Công ty Cổ phần Tập đoàn khoáng sản Á Cường,A  CUONG  MINERAL  GROUP JOINT  STOCK COMPANY,K.sản Á Cường,listed,2015-07-23,,HNX,,Khai khoáng nói chung
17,stock,2285,ACS,Công ty Cổ phần Xây lắp Thương mại 2,Công ty Cổ phần Xây lắp Thương mại 2,Architects & Construction Service Corporation,X.lắp T.mại 2,listed,2017-07-13,,UPCOM,,Xây dựng công trình
18,stock,4277,ACV,Tổng công ty cảng hàng không Việt Nam - CTCP,Tổng công ty cảng hàng không Việt Nam - CTCP,Airports Corporation of Vietnam,Cảng Hàng không VN,listed,2016-11-21,,UPCOM,,Dịch vụ vận tải
19,stock,3077,ADC,Công ty Cổ phần Mĩ thuật và Truyền thông ,Công ty Cổ phần Mĩ thuật và Truyền thông ,Art Design & Communication Joint Stock Company,Mĩ thuật & Tr.thông,listed,2010-12-24,,HNX,,Hoạt động xuất bản
20,stock,10463,ADG,Công ty Cổ phần Clever Group,Công ty Cổ phần Clever Group,Clever Group Corporation,CTCP Clever Group,listed,2021-02-22,,HOSE,,Các hãng truyền thông
21,stock,2690,ADP,Công ty Cổ phần Sơn Á Đông ,Công ty Cổ phần Sơn Á Đông ,A Dong Paint Stock Company,CTCP Sơn Á Đông,listed,2010-02-02,,UPCOM,,Vật liệu xây dựng
22,stock,4768,ADS,Công ty Cổ phần Damsan,Công ty Cổ phần Damsan,Damsan Joint stock company,CTCP Damsan,listed,2016-06-29,,HOSE,,Hóa chất cơ bản
23,stock,3788,AFX,Công ty Cổ phần Xuất nhập khẩu Nông sản thực phẩm An Giang,Công ty Cổ phần Xuất nhập khẩu Nông sản thực phẩm An Giang,An Giang Agriculture and Foods Import-Export Joint Stock Company,XNK N.sản An Giang,listed,2016-12-02,,UPCOM,,Nông sản và thủy hải sản
24,stock,5725,AG1,Công ty Cổ phần 28.1,Công ty Cổ phần 28.1,28.1 Joint Stock Company,CTCP 28.1,listed,2018-01-10,,UPCOM,,"Đồ may mặc, trang sức, phụ kiện"
25,stock,5,AGF,Công ty Cổ phần Xuất nhập khẩu thủy sản An Giang ,Công ty Cổ phần Xuất nhập khẩu thủy sản An Giang ,An Giang Fisheries Import and Export Joint Stock Company,Thủy sản An Giang,listed,2020-02-24,,UPCOM,,Nông sản và thủy hải sản
26,stock,10454,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,CTCP Đầu tư và Phát triển Bất động sản An Gia,An Gia Real Estate Investment and Development Corporation,Bất động sản An Gia,listed,2020-01-09,,HOSE,,Đầu tư và phát triển bất động sản
27,stock,2056,AGM,Công ty Cổ phần xuất nhập khẩu An Giang,Công ty Cổ phần xuất nhập khẩu An Giang,An Giang import export joint stock company,CTCP XNK An Giang,listed,2012-12-14,,HOSE,,Sản xuất thực phẩm
28,stock,4425,AGP,Công ty Cổ phần Dược phẩm Agimexpharm,Công ty Cổ phần Dược phẩm Agimexpharm,AGIMEXPHARM PHARMACEUTICAL JOINT STOCK COMPANY,Dược Agimexpharm,listed,2015-10-06,,UPCOM,,Dược phẩm
29,stock,1479,AGR,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,AGRIBANK SECURITIES CORPORATION,Chứng khoán Agribank,listed,2009-12-10,,HOSE,,Dịch vụ đầu tư
30,stock,4390,AGX,Công ty Cổ phần nông sản xuất khẩu Sài Gòn ,Công ty Cổ phần nông sản xuất khẩu Sài Gòn ,SAIGON EXPORT FOODSTUFFS ANDAGRICULTURAL PRODUCTS JOINT STOCK COMPANY,Nông SX khẩu SG,listed,2015-09-14,,UPCOM,,Sản xuất thực phẩm
31,stock,276,AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Vietnam National Aviation Insurance Corporation,Bảo hiểm Hàng không,listed,2021-01-08,,UPCOM,,Bảo hiểm đa ngành
32,stock,960,ALT,Công ty Cổ phần văn hoá Tân Bình ,Công ty Cổ phần văn hoá Tân Bình ,Alta Company,Văn hoá Tân Bình,listed,2009-07-27,,HNX,,Hoạt động xuất bản
33,stock,2978,ALV,Công ty Cổ phần Xây dựng ALVICO,Công ty Cổ phần Xây dựng ALVICO,ALVICO Construction Joint Stock Company,CTCP ALVICO,listed,2019-06-21,,UPCOM,,Vật liệu xây dựng
34,stock,3396,AMC,Công ty Cổ phần Khoáng sản Á Châu,Công ty Cổ phần Khoáng sản Á Châu,Asia Mineral Join Stock Company,K.sản Á Châu,listed,2012-02-15,,HNX,,Khai khoáng nói chung
35,stock,4082,AMD,Công ty cổ phần đầu tư và khoáng sản FLC Stone,Công ty cổ phần đầu tư và khoáng sản FLC Stone,FLC STONE MINING AND INVESTMENT JOINT STOCK COMPANY,Đầu tư K.sản FLC,listed,2015-06-16,,HOSE,,Bán lẻ tổng hợp
36,stock,2796,AME,Công ty Cổ phần Alphanam E&C,Công ty Cổ phần Alphanam E&C,Alphanam E&C Joint Stock Company,Alphanam E&C,listed,2010-06-02,,HNX,,Thiết bị điện
37,stock,986,AMP,Công ty Cổ phần Armephaco,Công ty Cổ phần Armephaco,Armephaco Joint Stock Company,CTCP Armephaco,listed,2017-01-12,,UPCOM,,Thiết bị y tế
38,stock,4812,AMS,Công ty cổ phần Cơ khí Xây dựng AMECC,Công ty cổ phần Cơ khí Xây dựng AMECC,AMECC Mechanical Construction Joint Stock Company,C.khí XD AMECC,listed,2017-02-06,,UPCOM,,Vật liệu xây dựng
39,stock,2644,AMV,Công ty Cổ phần Sản xuất kinh doanh dược và Trang thiết bị y tế Việt Mỹ,Công ty Cổ phần Sản xuất kinh doanh dược và Trang thiết bị y tế Việt Mỹ,American Vietnamese Biotech Incorporation,T.bị y tế Việt Mỹ,listed,2009-12-30,,HNX,,Thiết bị y tế
40,stock,2905,ANT,Công ty Cổ phần Rau quả thực phẩm An Giang,Công ty Cổ phần Rau quả thực phẩm An Giang,An Giang Fruit-vegetable & Foodstuff JSC,R.quả Th.phẩm An Giang,listed,2016-12-22,,UPCOM,,Sản xuất thực phẩm
41,stock,1516,ANV,Công ty TNHH Amicogen Nam Việt,Công ty TNHH Amicogen Nam Việt,Amicogen Nam Viet Company Limited,Amicogen Nam Việt,listed,2007-12-07,,HOSE,,Nông sản và thủy hải sản
42,stock,2689,APC,Công ty Cổ phần Chiếu xạ An Phú,Công ty Cổ phần Chiếu xạ An Phú,An Phu Irradiation Joint Stock Company,Chiếu xạ An Phú,listed,2010-02-05,,HOSE,,Hóa chất đặc biệt
43,stock,4270,APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Quang Ngai Agricultural Products and Foodstuff Joint Stock Company,N.sản Quảng Ngãi,listed,2017-06-08,,UPCOM,,Sản xuất thực phẩm
44,stock,2341,APG,Công ty Cổ phần Chứng khoán An Phát,Công ty Cổ phần Chứng khoán An Phát,An Phat Securities Company,CK An Phát,listed,2016-11-30,,HOSE,,Dịch vụ đầu tư
45,stock,5359,APH,Công ty cổ phần Tập đoàn An Phát Holdings,Công ty cổ phần Tập đoàn An Phát Holdings,An Phat Holdings Joint Stock Company,An Phát Holdings,listed,2020-07-28,,HOSE,,Hóa chất cơ bản
46,stock,2560,API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Asia - Pacific  Investment Joint Stock Company,ĐT Châu Á - TBD,listed,2010-09-13,,HNX,,Tài chính chuyên biệt
47,stock,4873,APL,Công ty cổ phần Cơ khí và thiết bị áp lực – VVMI,Công ty cổ phần Cơ khí và thiết bị áp lực – VVMI,VVMI – Mechanical And Pressure Equipment Joint Stock Company,Cơ khí T.bị áp lực,listed,2016-10-14,,UPCOM,,Vật liệu xây dựng
48,stock,3016,APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ ,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ ,Additives and Petroleum Products Joint Stock Company,S.phẩm dầu mỏ,listed,2010-10-05,,HNX,,Hóa chất đặc biệt
49,stock,2318,APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Asia - Pacific Securities Joint Stock Company,Chứng khoán APEC,listed,2010-04-19,,HNX,,Dịch vụ đầu tư
50,stock,2946,APT,Công ty Cổ phần Kinh doanh Thủy hải sản Sài Gòn,Công ty Cổ phần Kinh doanh Thủy hải sản Sài Gòn,SAIGON AQUATIC PRODUCTS TRADING JOINT STOCK COMPANY,Hải sản Sài Gòn,listed,2019-06-07,,UPCOM,,Sản xuất thực phẩm
51,stock,6336,AQN,Công ty Cổ phần 28 Quảng Ngãi,Công ty Cổ phần 28 Quảng Ngãi,28 Quang Ngai Joint Stock Company,AGTEX,listed,2019-05-20,,UPCOM,,"Đồ may mặc, trang sức, phụ kiện"
52,stock,3021,ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,Công ty Cổ phần Xuất nhập khẩu Hàng không,General Aviation Import Export Joint Stock Company,XNK Hàng không,listed,2010-10-26,,HNX,,Cung ứng
