|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
0|2015-08-05T00:00:00|1|10|HOSTC|2012-09-30T00:00:00|PLX11000QUARTER30-SEP-12VN1|11000|Tài sản ngắn hạn|VN|1|2016-12-05T00:00:00|37818163703711|QUARTER|19|PLX
1|2015-08-05T00:00:00|2|20|HOSTC|2012-09-30T00:00:00|PLX11100QUARTER30-SEP-12VN1|11100|Tiền và các khoản tương đương tiền|VN|1|2016-12-05T00:00:00|6783095079951|QUARTER|19|PLX
2|2015-08-05T00:00:00|3|30|HOSTC|2012-09-30T00:00:00|PLX11110QUARTER30-SEP-12VN1|11110|Tiền|VN|1|2016-12-05T00:00:00|2576283432533|QUARTER|19|PLX
3|2015-08-05T00:00:00|3|70|HOSTC|2012-09-30T00:00:00|PLX11120QUARTER30-SEP-12VN1|11120|Các khoản tương đương tiền|VN|1|2016-12-05T00:00:00|4206811647418|QUARTER|19|PLX
4|2015-08-05T00:00:00|2|80|HOSTC|2012-09-30T00:00:00|PLX11200QUARTER30-SEP-12VN1|11200|Các khoản đầu tư tài chính ngắn hạn|VN|1|2016-12-05T00:00:00|979175989085|QUARTER|19|PLX
5|2015-08-05T00:00:00|3|90|HOSTC|2012-09-30T00:00:00|PLX11210QUARTER30-SEP-12VN1|11210|Đầu tư ngắn hạn|VN|1|2016-12-05T00:00:00|1025634211107|QUARTER|19|PLX
6|2015-08-05T00:00:00|3|100|HOSTC|2012-09-30T00:00:00|PLX11290QUARTER30-SEP-12VN1|11290|Dự phòng giảm giá đầu tư ngắn hạn|VN|1|2016-12-05T00:00:00|-46458222022|QUARTER|19|PLX
7|2015-08-05T00:00:00|3|105|HOSTC|2012-09-30T00:00:00|PLX412320QUARTER30-SEP-12VN1|412320|Đầu tư giữ đến ngày đáo hạn|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
8|2015-08-05T00:00:00|2|110|HOSTC|2012-09-30T00:00:00|PLX11300QUARTER30-SEP-12VN1|11300|Các khoản phải thu ngắn hạn|VN|1|2016-12-05T00:00:00|12000884403516|QUARTER|19|PLX
9|2015-08-05T00:00:00|3|120|HOSTC|2012-09-30T00:00:00|PLX11310QUARTER30-SEP-12VN1|11310|Phải thu khách hàng|VN|1|2016-12-05T00:00:00|8660762750872|QUARTER|19|PLX
10|2015-08-05T00:00:00|3|130|HOSTC|2012-09-30T00:00:00|PLX11320QUARTER30-SEP-12VN1|11320|Trả trước cho người bán|VN|1|2016-12-05T00:00:00|413412798908|QUARTER|19|PLX
11|2015-08-05T00:00:00|3|140|HOSTC|2012-09-30T00:00:00|PLX11330QUARTER30-SEP-12VN1|11330|Phải thu nội bộ ngắn hạn|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
12|2015-08-05T00:00:00|3|150|HOSTC|2012-09-30T00:00:00|PLX11340QUARTER30-SEP-12VN1|11340|Phải thu theo tiến độ kế hoạch hợp đồng xây dựng|VN|1|2016-12-05T00:00:00|1012654566|QUARTER|19|PLX
13|2015-08-05T00:00:00|3|155|HOSTC|2012-09-30T00:00:00|PLX11345QUARTER30-SEP-12VN1|11345|Phải thu về cho vay ngắn hạn|VN|1|2016-12-05T00:00:00|0|QUARTER|19|PLX
14|2015-08-05T00:00:00|3|160|HOSTC|2012-09-30T00:00:00|PLX11350QUARTER30-SEP-12VN1|11350|Các khoản phải thu khác|VN|1|2016-12-05T00:00:00|3096549917303|QUARTER|19|PLX
15|2015-08-05T00:00:00|3|210|HOSTC|2012-09-30T00:00:00|PLX11390QUARTER30-SEP-12VN1|11390|Dự phòng phải thu ngắn hạn khó đòi|VN|1|2016-12-05T00:00:00|-170853718133|QUARTER|19|PLX
