,id,symbol,open,close,high,low,average,volume,value,ptVolume,ptValue,change,percentage,object,tradingDate
0,VIC2014-12-31,VIC,22.998,23.046,23.191,22.901,23.046,334990,15979801600.0,0.0,0.0,0.097,0.42,adPrice,2014-12-31
1,VIC2014-12-30,VIC,22.804,22.949,22.949,22.707,22.79,1029140,48544223000.0,75000.0,3537750020.0,0.29,1.28,adPrice,2014-12-30
2,VIC2014-12-29,VIC,22.273,22.659,22.756,22.273,22.573,446970,20882657300.0,0.0,0.0,0.144,0.64,adPrice,2014-12-29
3,VIC2014-12-26,VIC,22.176,22.515,22.659,21.935,22.312,824220,38063596000.0,6293636.0,293400904000.0,0.339,1.53,adPrice,2014-12-26
4,VIC2014-12-25,VIC,22.611,22.176,22.611,22.176,22.326,165880,7664871900.0,11247461.0,528630678000.0,-0.387,-1.72,adPrice,2014-12-25
5,VIC2014-12-24,VIC,22.659,22.563,22.659,22.466,22.593,110740,5177977900.0,0.0,0.0,0.097,0.43,adPrice,2014-12-24
6,VIC2014-12-23,VIC,22.707,22.466,22.804,22.418,22.587,196630,9191704600.0,0.0,0.0,-0.241,-1.06,adPrice,2014-12-23
7,VIC2014-12-22,VIC,22.901,22.707,22.901,22.707,22.848,835050,39488475000.0,18001836.0,851008820000.0,0.0,0.0,adPrice,2014-12-22
8,VIC2014-12-19,VIC,22.611,22.707,22.998,22.515,22.702,3336130,156779954000.0,600000.0,29940000800.0,-0.049,-0.22,adPrice,2014-12-19
9,VIC2014-12-18,VIC,22.079,22.756,22.804,21.789,22.249,1089700,50183512000.0,2205000.0,94125498000.0,1.015,4.67,adPrice,2014-12-18
10,VIC2014-12-17,VIC,22.707,21.741,22.804,21.259,22.089,2256690,103183614000.0,600000.0,29880000500.0,-0.966,-4.25,adPrice,2014-12-17
11,VIC2014-12-16,VIC,23.191,22.707,23.191,22.659,22.882,1232870,58387263000.0,9343248.0,448475890000.0,-0.532,-2.29,adPrice,2014-12-16
12,VIC2014-12-15,VIC,23.287,23.239,23.336,23.191,23.254,412390,19847499800.0,0.0,0.0,-0.048,-0.21,adPrice,2014-12-15
13,VIC2014-12-12,VIC,23.239,23.287,23.433,23.239,23.287,672740,32423987200.0,200000.0,9635800100.0,0.0,0.0,adPrice,2014-12-12
14,VIC2014-12-11,VIC,23.191,23.287,23.674,23.191,23.462,1202410,58384015000.0,30000.0,1359000060.0,-0.242,-1.03,adPrice,2014-12-11
15,VIC2014-12-10,VIC,22.949,23.529,23.626,22.949,23.331,765320,36956373000.0,0.0,0.0,0.435,1.88,adPrice,2014-12-10
16,VIC2014-12-09,VIC,23.529,23.094,23.577,22.901,23.239,1396920,67185091000.0,0.0,0.0,-0.532,-2.25,adPrice,2014-12-09
17,VIC2014-12-08,VIC,23.577,23.626,23.722,23.383,23.577,985520,48090333000.0,30000.0,1560000000.0,0.097,0.41,adPrice,2014-12-08
18,VIC2014-12-05,VIC,23.383,23.529,23.626,23.383,23.534,890450,43372184000.0,0.0,0.0,0.146,0.62,adPrice,2014-12-05
19,VIC2014-12-04,VIC,23.383,23.383,23.529,23.336,23.437,516730,25064562700.0,0.0,0.0,0.047,0.2,adPrice,2014-12-04
20,VIC2014-12-03,VIC,23.433,23.336,23.481,23.287,23.355,1457650,70468264000.0,45000.0,2176199940.0,-0.097,-0.41,adPrice,2014-12-03
21,VIC2014-12-02,VIC,23.626,23.433,23.626,23.433,23.515,868170,42253935000.0,0.0,0.0,-0.048,-0.2,adPrice,2014-12-02
22,VIC2014-12-01,VIC,23.336,23.481,23.674,23.336,23.505,403800,19645712400.0,158000.0,7687015900.0,0.145,0.62,adPrice,2014-12-01
23,VIC2014-11-28,VIC,23.433,23.336,23.722,23.336,23.597,1001310,48904741000.0,0.0,0.0,0.049,0.21,adPrice,2014-11-28
24,VIC2014-11-27,VIC,23.433,23.287,23.433,23.191,23.302,360070,17365348400.0,0.0,0.0,-0.096,-0.41,adPrice,2014-11-27
25,VIC2014-11-26,VIC,23.916,23.383,23.916,23.383,23.65,1543650,75556921000.0,96000.0,4692096000.0,-0.437,-1.83,adPrice,2014-11-26
26,VIC2014-11-25,VIC,23.336,23.82,23.82,23.287,23.607,1661680,81196753000.0,0.0,0.0,0.629,2.71,adPrice,2014-11-25
27,VIC2014-11-24,VIC,23.191,23.191,23.481,22.949,23.186,781250,37489844000.0,0.0,0.0,0.0,0.0,adPrice,2014-11-24
28,VIC2014-11-21,VIC,23.287,23.191,23.383,23.143,23.22,948120,45565395000.0,70500.0,3388159490.0,-0.096,-0.41,adPrice,2014-11-21
29,VIC2014-11-20,VIC,23.433,23.287,23.577,23.287,23.355,835340,40380543000.0,240560.0,11628670000.0,-0.096,-0.41,adPrice,2014-11-20
30,VIC2014-11-19,VIC,23.336,23.383,23.481,23.287,23.389,884820,42830610000.0,0.0,0.0,-0.05,-0.21,adPrice,2014-11-19
31,VIC2014-11-18,VIC,23.82,23.433,23.867,23.433,23.617,1353050,66139242000.0,0.0,0.0,-0.531,-2.22,adPrice,2014-11-18
32,VIC2014-11-17,VIC,23.916,23.964,24.109,23.867,24.036,1164180,57921880000.0,0.0,0.0,0.097,0.41,adPrice,2014-11-17
33,VIC2014-11-14,VIC,23.577,23.867,23.916,23.433,23.702,2765430,135683015000.0,0.0,0.0,0.29,1.23,adPrice,2014-11-14
34,VIC2014-11-13,VIC,23.577,23.577,23.722,23.481,23.592,934660,45636039000.0,0.0,0.0,0.0,0.0,adPrice,2014-11-13
35,VIC2014-11-12,VIC,23.481,23.577,23.674,23.481,23.592,1106560,54031143000.0,0.0,0.0,0.096,0.41,adPrice,2014-11-12
36,VIC2014-11-11,VIC,23.529,23.481,23.577,23.383,23.481,761240,36999541000.0,0.0,0.0,-0.048,-0.2,adPrice,2014-11-11
37,VIC2014-11-10,VIC,23.336,23.529,23.77,23.336,23.568,1522760,74281378000.0,0.0,0.0,0.193,0.83,adPrice,2014-11-10
38,VIC2014-11-07,VIC,23.239,23.336,23.336,23.143,23.264,567090,27305584600.0,0.0,0.0,0.097,0.42,adPrice,2014-11-07
39,VIC2014-11-06,VIC,23.481,23.239,23.481,23.191,23.278,747280,36007145000.0,0.0,0.0,-0.194,-0.83,adPrice,2014-11-06
40,VIC2014-11-05,VIC,23.433,23.433,23.529,23.143,23.597,751310,36225323000.0,0.0,0.0,0.0,0.0,adPrice,2014-11-05
41,VIC2014-11-04,VIC,23.577,23.433,23.77,23.383,23.597,1086740,53072228000.0,200000.0,9790000100.0,-0.337,-1.42,adPrice,2014-11-04
42,VIC2014-11-03,VIC,23.433,23.77,23.867,23.383,23.664,2671730,130854470000.0,0.0,0.0,0.579,2.5,adPrice,2014-11-03
43,VIC2014-10-31,VIC,22.998,23.191,23.191,22.756,22.988,970860,46193361000.0,100000.0,4729999900.0,0.193,0.84,adPrice,2014-10-31
