tradingdate,open,high,low,close,volume,adj_close,SMA_20,SMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,VOLUME_SMA_20,CDL_DOJI_10_0.1,CDL_SHOOTINGSTAR,CDL_HAMMER,CDL_HANGINGMAN,CDL_EVENINGSTAR,CDL_MORNINGSTAR,CDL_INVERTEDHAMMER,VOLUME_VS_MA20,symbol,X2 VOLUME SMA20,X1.5_VOLUME SMA20,X0.5_VOLUME SMA20,MA20 > MA50,PRICE > BBU20,PRICE < BBL20,RSI > 70,RSI < 30,MA20 X MA50,MACD X 0
2021-01-04,108.5,109.0,106.5,108.0,991100,108.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-05,107.2,109.9,107.2,109.7,1192200,109.7,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-06,110.0,110.5,108.9,110.2,1283000,110.2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-07,110.4,111.0,109.0,110.1,862300,110.1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-08,110.1,112.7,110.1,111.8,1348700,111.8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-11,112.8,114.6,112.8,113.8,1536700,113.8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-12,116.0,116.0,113.7,114.4,981100,114.4,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-13,114.4,114.6,111.1,111.1,1237900,111.1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-14,111.5,112.3,110.0,110.4,1439100,110.4,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-15,111.4,112.2,109.8,111.2,1238000,111.2,,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-18,112.0,112.1,110.1,110.3,826900,110.3,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-19,110.3,110.3,102.6,102.7,1367600,102.7,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
2021-01-20,103.0,105.0,102.5,103.3,1875500,103.3,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,VIC,False,False,False,False,False,False,False,False,0,False
