"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"21/07/2021","2.081","2.081","2.081","2.081","-0.05%"
"20/07/2021","2.082","2.082","2.082","2.082","-2.39%"
"19/07/2021","2.133","2.133","2.133","2.133","0.42%"
"16/07/2021","2.124","2.124","2.127","2.124","1.00%"
"15/07/2021","2.103","2.103","2.104","2.103","0.10%"
"14/07/2021","2.101","2.101","2.102","2.101","-2.01%"
"13/07/2021","2.144","2.144","2.145","2.144","-0.33%"
"12/07/2021","2.151","2.151","2.152","2.151","1.13%"
"09/07/2021","2.127","2.127","2.127","2.127","-0.05%"
"08/07/2021","2.128","2.128","2.128","2.128","-1.21%"
"07/07/2021","2.154","2.154","2.154","2.154","1.22%"
"06/07/2021","2.128","2.128","2.128","2.128","-0.28%"
"05/07/2021","2.134","2.134","2.134","2.134","-0.70%"
"02/07/2021","2.149","2.149","2.149","2.149","-0.56%"
"01/07/2021","2.161","2.161","2.161","2.161","-0.60%"
"30/06/2021","2.174","2.174","2.174","2.174","-0.23%"
"29/06/2021","2.179","2.179","2.179","2.179","-1.49%"
"28/06/2021","2.212","2.242","2.242","2.212","-0.54%"
"25/06/2021","2.224","2.194","2.224","2.194","2.35%"
"24/06/2021","2.173","2.173","2.173","2.173","-0.28%"
"23/06/2021","2.179","2.179","2.179","2.179","0.97%"
"22/06/2021","2.158","2.158","2.158","2.158","-0.83%"
"21/06/2021","2.176","2.156","2.176","2.156","2.30%"
"18/06/2021","2.127","2.147","2.147","2.127","-1.85%"
"17/06/2021","2.167","2.167","2.167","2.167","-0.05%"
"16/06/2021","2.168","2.188","2.188","2.168","-1.90%"
"15/06/2021","2.210","2.190","2.210","2.190","1.89%"
"14/06/2021","2.169","2.180","2.180","2.169","-0.55%"
"11/06/2021","2.181","2.215","2.215","2.181","-1.53%"
"10/06/2021","2.215","2.215","2.215","2.215","0.45%"
"09/06/2021","2.205","2.205","2.205","2.205","-0.72%"
"08/06/2021","2.221","2.221","2.221","2.221","-0.94%"
"07/06/2021","2.242","2.242","2.242","2.242","0.13%"
"04/06/2021","2.239","2.239","2.239","2.239","-0.62%"
"03/06/2021","2.253","2.253","2.253","2.253","1.85%"
"02/06/2021","2.212","2.212","2.212","2.212","-1.82%"
"01/06/2021","2.253","2.253","2.253","2.253","-0.88%"
"31/05/2021","2.273","2.297","2.297","2.273","-1.09%"
"28/05/2021","2.298","2.298","2.298","2.298","-0.26%"
"27/05/2021","2.304","2.304","2.304","2.304","-0.56%"
"26/05/2021","2.317","2.317","2.317","2.317","0.04%"
"25/05/2021","2.316","2.316","2.316","2.316","-0.34%"
"24/05/2021","2.324","2.324","2.324","2.324","-0.94%"
"21/05/2021","2.346","2.346","2.346","2.346","0.04%"
"20/05/2021","2.345","2.345","2.345","2.345","-0.47%"
"19/05/2021","2.356","2.356","2.356","2.356","-0.42%"
"18/05/2021","2.366","2.366","2.366","2.366","-0.13%"
"17/05/2021","2.369","2.369","2.369","2.369","-0.42%"
"14/05/2021","2.379","2.379","2.379","2.379","-0.46%"
"13/05/2021","2.390","2.390","2.390","2.390","0.76%"
"12/05/2021","2.372","2.372","2.372","2.372","-0.71%"
"11/05/2021","2.389","2.389","2.389","2.389","-0.17%"
"10/05/2021","2.393","2.393","2.393","2.393","-0.29%"
"07/05/2021","2.400","2.400","2.400","2.400","0.08%"
"06/05/2021","2.398","2.398","2.398","2.398","1.01%"
"05/05/2021","2.374","2.374","2.374","2.374","-0.17%"
"04/05/2021","2.378","2.400","2.400","2.378","5.13%"
"03/05/2021","2.262","2.262","2.262","2.262","-0.04%"
"30/04/2021","2.263","2.263","2.263","2.263","-2.16%"
"29/04/2021","2.313","2.313","2.313","2.313","0.00%"
"28/04/2021","2.313","2.313","2.313","2.313","0.22%"
"27/04/2021","2.308","2.308","2.308","2.308","1.18%"
"26/04/2021","2.281","2.281","2.281","2.281","-0.61%"
"23/04/2021","2.295","2.255","2.295","2.255","2.32%"
"22/04/2021","2.243","2.273","2.273","2.243","-1.15%"
"21/04/2021","2.269","2.269","2.269","2.269","-2.16%"
"20/04/2021","2.319","2.328","2.328","2.319","-0.77%"
"19/04/2021","2.337","2.297","2.337","2.297","2.19%"
"16/04/2021","2.287","2.327","2.327","2.287","-3.62%"
"15/04/2021","2.373","2.373","2.373","2.373","-0.13%"
"14/04/2021","2.376","2.376","2.376","2.376","0.55%"
"13/04/2021","2.363","2.363","2.363","2.363","-0.96%"
"12/04/2021","2.386","2.386","2.386","2.386","0.55%"
"09/04/2021","2.373","2.373","2.373","2.373","0.34%"
"08/04/2021","2.365","2.365","2.365","2.365","0.08%"
"07/04/2021","2.363","2.363","2.363","2.363","-0.17%"
"06/04/2021","2.367","2.367","2.367","2.367","-0.75%"
"05/04/2021","2.385","2.366","2.385","2.366","0.97%"
"02/04/2021","2.362","2.362","2.362","2.362","0.47%"
"01/04/2021","2.351","2.351","2.351","2.351","-1.47%"
"31/03/2021","2.386","2.386","2.386","2.386","0.04%"
"30/03/2021","2.385","2.385","2.385","2.385","0.13%"
"29/03/2021","2.382","2.382","2.382","2.382","0.97%"
"26/03/2021","2.359","2.359","2.359","2.359","-1.50%"
"25/03/2021","2.395","2.395","2.395","2.395","2.09%"
"24/03/2021","2.346","2.346","2.346","2.346","-1.80%"
"23/03/2021","2.389","2.408","2.408","2.389","-0.79%"
"22/03/2021","2.408","2.408","2.408","2.408","-0.95%"
"19/03/2021","2.431","2.431","2.431","2.431","0.79%"
"18/03/2021","2.412","2.412","2.412","2.412","-0.33%"
"17/03/2021","2.420","2.420","2.420","2.420","1.85%"
"16/03/2021","2.376","2.376","2.376","2.376","0.59%"
"15/03/2021","2.362","2.362","2.362","2.362","0.13%"
"12/03/2021","2.359","2.389","2.389","2.359","-1.42%"
"11/03/2021","2.393","2.363","2.393","2.363","2.62%"
"10/03/2021","2.332","2.342","2.342","2.332","-2.35%"
"09/03/2021","2.388","2.378","2.388","2.378","0.97%"
"08/03/2021","2.365","2.365","2.365","2.365","0.94%"
"05/03/2021","2.343","2.383","2.383","2.343","-1.43%"
"04/03/2021","2.377","2.337","2.377","2.337","3.57%"
"03/03/2021","2.295","2.295","2.295","2.295","-0.39%"
"02/03/2021","2.304","2.304","2.304","2.304","-1.33%"
"01/03/2021","2.335","2.335","2.335","2.335","-0.85%"
"26/02/2021","2.355","2.375","2.375","2.355","1.95%"
"25/02/2021","2.310","2.290","2.310","2.290","1.76%"
"24/02/2021","2.270","2.270","2.270","2.270","-0.26%"
"23/02/2021","2.276","2.276","2.276","2.276","1.47%"
"22/02/2021","2.243","2.243","2.243","2.243","0.99%"
"19/02/2021","2.221","2.221","2.221","2.221","-1.46%"
"18/02/2021","2.254","2.239","2.254","2.208","2.04%"
"17/02/2021","2.209","2.239","2.239","2.209","-0.36%"
"16/02/2021","2.217","2.217","2.217","2.217","0.00%"
"15/02/2021","2.217","2.217","2.217","2.217","0.00%"
"12/02/2021","2.217","2.217","2.217","2.217","0.00%"
"11/02/2021","2.217","2.217","2.217","2.217","0.00%"
"10/02/2021","2.217","2.217","2.217","2.217","-2.46%"
"09/02/2021","2.273","2.273","2.273","2.273","0.22%"
"08/02/2021","2.268","2.268","2.268","2.268","0.93%"
"05/02/2021","2.247","2.247","2.247","2.247","-0.18%"
"04/02/2021","2.251","2.295","2.295","2.251","-1.92%"
"03/02/2021","2.295","2.295","2.295","2.295","-0.30%"
"02/02/2021","2.302","2.302","2.302","2.302","1.01%"
"01/02/2021","2.279","2.279","2.279","2.279","-1.09%"
"29/01/2021","2.304","2.304","2.304","2.304","-0.48%"
"28/01/2021","2.315","2.230","2.315","2.230","3.81%"
"27/01/2021","2.230","2.230","2.230","2.230","-0.04%"
"26/01/2021","2.231","2.231","2.231","2.231","1.09%"
"25/01/2021","2.207","2.207","2.207","2.207","0.87%"
"22/01/2021","2.188","2.188","2.188","2.188","0.00%"
"21/01/2021","2.188","2.188","2.188","2.188","-1.08%"
"20/01/2021","2.212","2.142","2.212","2.142","7.38%"
"19/01/2021","2.060","2.130","2.130","2.060","-6.24%"
"18/01/2021","2.197","2.197","2.197","2.197","-0.45%"
"15/01/2021","2.207","2.207","2.207","2.207","-4.95%"
"14/01/2021","2.322","2.322","2.322","2.322","-0.39%"
"13/01/2021","2.331","2.331","2.331","2.331","-2.22%"
"12/01/2021","2.384","2.384","2.384","2.384","-0.75%"
"11/01/2021","2.402","2.412","2.412","2.402","-1.40%"
"08/01/2021","2.436","2.426","2.436","2.421","0.58%"
"07/01/2021","2.422","2.426","2.426","2.422","-0.21%"
"06/01/2021","2.427","2.415","2.427","2.415","0.50%"
"05/01/2021","2.415","2.431","2.431","2.415","-0.70%"
"04/01/2021","2.432","2.541","2.541","2.432","-0.78%"
"31/12/2020","2.451","2.419","2.451","2.419","1.32%"
"30/12/2020","2.419","2.310","2.419","2.419","4.72%"
"29/12/2020","2.310","2.322","2.322","2.310","-0.52%"
"28/12/2020","2.322","2.307","2.322","2.307","0.65%"
"25/12/2020","2.307","2.284","2.307","2.284","1.01%"
"24/12/2020","2.284","2.302","2.302","2.284","-0.78%"
"23/12/2020","2.302","2.293","2.302","2.293","0.39%"
"22/12/2020","2.293","2.337","2.337","2.293","-1.88%"
"21/12/2020","2.337","2.330","2.337","2.330","0.30%"
"18/12/2020","2.330","2.315","2.330","2.315","0.65%"
"17/12/2020","2.315","2.322","2.322","2.315","-0.30%"
"16/12/2020","2.322","2.296","2.322","2.296","1.13%"
"15/12/2020","2.296","2.346","2.346","2.296","-2.13%"
"14/12/2020","2.346","2.371","2.371","2.346","-1.05%"
"11/12/2020","2.371","2.339","2.371","2.339","1.37%"
"10/12/2020","2.339","2.392","2.392","2.339","-2.22%"
"09/12/2020","2.392","2.385","2.392","2.385","0.29%"
"08/12/2020","2.385","2.361","2.385","2.361","1.02%"
"07/12/2020","2.361","2.379","2.379","2.361","-0.76%"
"04/12/2020","2.379","2.394","2.394","2.379","-0.63%"
"03/12/2020","2.394","2.420","2.420","2.394","-1.07%"
"02/12/2020","2.420","2.420","2.420","2.420","0.00%"
"01/12/2020","2.420","2.421","2.421","2.420","-0.04%"
"30/11/2020","2.421","2.434","2.434","2.421","-0.53%"
"27/11/2020","2.434","2.380","2.434","2.380","2.27%"
"26/11/2020","2.380","2.493","2.493","2.380","-4.53%"
"25/11/2020","2.493","2.514","2.514","2.493","-0.84%"
"24/11/2020","2.514","2.530","2.530","2.514","-0.63%"
"23/11/2020","2.530","2.536","2.536","2.530","-0.24%"
"20/11/2020","2.536","2.542","2.542","2.536","-0.24%"
"19/11/2020","2.542","2.538","2.542","2.538","0.16%"
"18/11/2020","2.538","2.568","2.568","2.538","-1.17%"
"17/11/2020","2.568","2.564","2.568","2.564","0.16%"
"16/11/2020","2.564","2.576","2.576","2.564","-0.47%"
"13/11/2020","2.576","2.570","2.576","2.570","0.23%"
"12/11/2020","2.570","2.554","2.570","2.554","0.63%"
"11/11/2020","2.554","2.577","2.577","2.554","-0.89%"
"10/11/2020","2.577","2.589","2.589","2.577","-0.46%"
"09/11/2020","2.589","2.589","2.589","2.575","0.54%"
